FIRST_NAME,LAST_NAME,GENDER,EMAIL,PHONE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP_CODE,COUNTRY,AGE_GROUP,MEMBER_STATUS,ORG_TITLE,APP_ROLE,START_DATE,END_DATE,REGION,CENTER
anotheruser7,lname7,M,testuser7@yahoo.com,1234567890,,,San Jose,California,94304,USA,YA,Pending_Approved,Vice President,Center Officer,5/21/2022,,Region 6,Sri Sathya Sai Group of Denver
anotheruser8,lname8,M,testuser8@yahoo.com,1234567890,,,San Jose,California,94304,USA,YA,Pending_Approved,Devotional Coordinator,Center Officer,5/22/2022,,Region 7,Sri Sathya Sai Center of Champaign-Urbana
anotheruser9,lname9,M,testuser9@yahoo.com,1234567890,,,Palo Alto,California,94304,USA,YA,Pending_Approved,Service Coordinator,Center Officer,5/23/2022,,Region 8,Sri Sathya Sai Center of Arcadia
anotheruser10,lname10,M,testuser10@yahoo.com,1234567890,,,Palo Alto,California,94304,USA,YA,Pending_Approved,Educational Coordinator,Center Officer,5/24/2022,,Region 9,Sri Sathya Sai Center of Phoenix
anotheruser11,lname11,M,testuser11@yahoo.com,1234567890,,,Palo Alto,California,94304,USA,YA,Pending_Approved,Group Leader,Center Officer,5/25/2022,,Region 2,Sri Sathya Sai Center of Arcadia
user1,lastname1,M,testuser12@yahoo.com,1234567890,,,Palo Alto,California,91103,USA,YA,Pending_Approved,President,Center Officer,5/26/2022,,Region 10,Sri Sathya Sai Center of Austin
user2,lastname2,F,testuser13@yahoo.com,1234567890,,,Palo Alto,California,91103,USA,Adult,Pending_Approved,Vice President,Center Officer,5/27/2022,,Region 1,Sri Sathya Sai Center of Albany
user3,lastname3,M,testuser14@yahoo.com,1234567890,,,Palo Alto,California,91103,USA,Adult,Pending_Approved,Devotional Coordinator,Center Officer,5/28/2022,,Region 2,Sri Sathya Sai Center of Baltimore
user4,lastname4,M,testuser15@yahoo.com,1234567890,,,San Francisco,California,91103,USA,Adult,Pending_Approved,Service Coordinator,Center Officer,5/29/2022,,Region 3,Sri Sathya Sai Center of Anderson
user5,lastname5,M,testuser16@yahoo.com,1234567890,,,San Francisco,California,91103,USA,Adult,Pending_Approved,Educational Coordinator,Regional Officer,5/30/2022,,Region 4,Sri Sathya Sai Group of Newtown
user6,lastname6,F,testuser17@yahoo.com,1234567890,,,San Francisco,California,91103,USA,Adult,Pending_Approved,President,Center Officer,5/31/2022,,Region 5,Sri Sathya Sai Group of Atascadero
user7,lastname7,M,testuser18@yahoo.com,1234567890,,,San Francisco,California,91103,USA,Adult,Pending_Approved,Vice President,Center Officer,6/1/2022,,Region 6,Sri Sathya Sai Group of Denver
user8,lastname8,M,testuser19@yahoo.com,1234567890,,,San Francisco,California,93000,USA,Adult,Pending_Approved,Devotional Coordinator,Center Officer,6/2/2022,,Region 7,Sri Sathya Sai Center of Champaign-Urbana
user9,lastname9,M,testuser20@yahoo.com,1234567890,,,San Francisco,California,93000,USA,Adult,Pending_Approved,Service Coordinator,Center Officer,6/3/2022,,Region 8,Sri Sathya Sai Center of Arcadia
user10,lastname10,M,testuser21@yahoo.com,1234567890,,,San Francisco,California,93000,USA,Adult,Pending_Approved,Educational Coordinator,Center Officer,6/4/2022,,Region 9,Sri Sathya Sai Center of Phoenix
user11,lastname11,M,testuser22@yahoo.com,1234567890,,,West Allis,California,93000,USA,Adult,Pending_Approved,Group Leader,Center Officer,6/5/2022,,Region 2,Sri Sathya Sai Center of Arcadia
user12,lastname12,M,testuser23@yahoo.com,1234567890,,,West Allis,California,93000,USA,Adult,Pending_Approved,President,Center Officer,6/6/2022,,Region 10,Sri Sathya Sai Center of Austin
user13,lastname13,F,testuser24@yahoo.com,1234567890,,,West Allis,California,93000,USA,Adult,Pending_Approved,Vice President,Regional Officer,6/7/2022,,Region 9,Sri Sathya Sai Center of Albany
user14,lastname14,M,testuser25@yahoo.com,1234567890,,,West Allis,California,93000,USA,Adult,Pending_Approved,Devotional Coordinator,Regional Officer,6/8/2022,,Region 9,Sri Sathya Sai Center of Baltimore
user15,lastname15,M,testuser26@yahoo.com,1234567890,,,West Allis,California,48795,USA,Adult,Pending_Approved,Service Coordinator,Regional Officer,6/9/2022,,Region 9,Sri Sathya Sai Center of Anderson
user16,lastname16,M,testuser27@yahoo.com,1234567890,,,West Allis,California,48795,USA,Adult,Pending_Approved,Educational Coordinator,Regional Officer,6/10/2022,,Region 9,Sri Sathya Sai Group of Newtown
user17,lastname17,F,testuser28@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,President,Regional Officer,6/11/2022,,Region 9,Sri Sathya Sai Group of Atascadero
user18,lastname18,M,testuser29@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,Vice President,Regional Officer,6/12/2022,,Region 9,Sri Sathya Sai Group of Denver
user19,lastname19,M,testuser30@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,Devotional Coordinator,Regional Officer,6/13/2022,,Region 9,Sri Sathya Sai Center of Champaign-Urbana
user20,lastname20,M,testuser31@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,Service Coordinator,Regional Officer,6/14/2022,,Region 9,Sri Sathya Sai Center of Arcadia
user21,lastname21,M,testuser32@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,Educational Coordinator,Regional Officer,6/15/2022,,Region 9,Sri Sathya Sai Center of Phoenix
user22,lastname22,M,testuser33@yahoo.com,1234567890,,,Warm Springs,California,48795,USA,Adult,Pending_Approved,Group Leader,Regional Officer,6/16/2022,,Region 9,Sri Sathya Sai Center of Arcadia
